,channel_id,video_id,comment_id,date,author,comment_text,sentiment
0,,rHux0gMZ3Eg,UgxCh3VTRWmOWudUtUx4AaABAg.9W3DO3jm6-V9rDwP-NBppM,2023-06-21T15:02:19Z,Franz Joseph Mendoza,"i have tried to buy the course but when i entered my visa in gpay (google pay?) and proceed it loads and after a while the page isn't working, but i think it didn't charge my account yet.",neutral
1,,rHux0gMZ3Eg,UgxCh3VTRWmOWudUtUx4AaABAg.9W3DO3jm6-V9r4HiwloBcG,2023-06-17T21:05:01Z,Superhero-Kaif,"Who the f**** voice over is this - this isn't Mosh and I kept getting feeling of "" my whole life is a lie"" because I had gone through several of your videos in the past especially your 6 hours python tutorial and you speak god damn American accent and this guy is speaking with asian accent - my brain just kept yelling something is wrong. Please introduce the lecturer if you are using another person to teach.",negative
2,,rHux0gMZ3Eg,UgxCh3VTRWmOWudUtUx4AaABAg.9W3DO3jm6-V9qUZGadS5kj,2023-06-03T05:27:09Z,shamshad malik,"hello Sir, i enrolled for this course. but forgot password .i am not able to recover as not not getting any recovery mail.i dont know if its a glitch. please ,i need immediate help as i am not able to watch the videos right now",negative
3,,rHux0gMZ3Eg,UgxCh3VTRWmOWudUtUx4AaABAg.9W3DO3jm6-V9qD-xHAYFJg,2023-05-27T09:51:27Z,Paulo Craice,"@Art - Brawl Starsgiven half of the internet seems 😮 powers by Wordpress, ignore PHP is very stupid.",negative
4,,rHux0gMZ3Eg,UgxCh3VTRWmOWudUtUx4AaABAg.9W3DO3jm6-V9lBR-QXJEtT,2023-01-22T12:32:22Z,Cody Sheridan,@SoberMan His full courses are well worth the money if you are serious about learning.,positive
5,,rHux0gMZ3Eg,UgyMBa0z3fFZkIg1IMJ4AaABAg,2023-06-22T20:52:38Z,Y.S.G TV,"please i need some help. When i was trying to map the url to the httpresponse i wasn't getting the string inputed but an error on the django page, what do i do?. I also got thesame error while using pycharm and I'm cofused",neutral
6,,rHux0gMZ3Eg,UgxisCqR8tsXHuSB-cd4AaABAg,2023-06-22T18:44:21Z,Aaron Royan,"Mosh i wanted to build a marketing website for commercial purposes.
At 35:51 you said templates arent used a lot. So am i going the right way using django. I didn't want to use angular and i wanted to switch to python for a change.
Let me know what you think",positive
7,,rHux0gMZ3Eg,UgzCxeaKcnnDQdyqYVp4AaABAg,2023-06-21T06:11:11Z,Syed Azeem Quadri,"heyy
after putting the path, I am not getting the extra directory of VScode.
can anyone help",neutral
8,,rHux0gMZ3Eg,Ugz8BkQIXMk6dhebUJl4AaABAg,2023-06-20T21:40:52Z,Reconbeatz,python interperter isnt working for me. i followed every step and i dont get the settings thing,neutral
9,,rHux0gMZ3Eg,Ugy-84_bxBLrraQKIrh4AaABAg,2023-06-20T06:33:37Z,ketty vaisbrot,"Hi, I get an error when i run the terminal after i did this parti n 31:55: ""include() missing 1 required positional argument: 'arg' "" although i followed all the steps from the video. what could be the problem?",negative
10,,rHux0gMZ3Eg,UgxUj4j4ERu4MIKmaUB4AaABAg.9r0eVWLWCRX9rH4wt2y5jQ,2023-06-22T20:23:27Z,Munish Reddy,I think you have to create a folder in playground folder and then html file inside the template folder. I also faced the same problem solved by creating template folder.,neutral
11,,rHux0gMZ3Eg,Ugzns_UJMbjAZHQgNHl4AaABAg,2023-06-15T20:29:38Z,Zombie Chicken,the .vscode folder isnt showing up in mine,neutral
12,,rHux0gMZ3Eg,Ugx_KuTbiXoHlbmhLYd4AaABAg,2023-06-14T17:50:55Z,kerim Tarik,why is there no giude on how to get Post put ore delete based on requests @programingwithmosh,neutral
13,,rHux0gMZ3Eg,UgxCtjs00Hs0nO_zeCp4AaABAg,2023-06-14T10:12:52Z,lesandu desilva,a super video . i learned django only from you. i am doing a job at google because of you. thank you. thank you.😇😇😃🥰🥰🥰🤩🤩‼‼,positive
14,,rHux0gMZ3Eg,Ugzr-APMPDGkzlMplMN4AaABAg,2023-06-14T02:25:24Z,Nguyen Duc Quoc Anh,Great tutorial! But the virtual environment stuff makes it unnecessarily distracting for beginners.,positive
15,,rHux0gMZ3Eg,UgwzoKi99RYRTvCubGd4AaABAg,2023-06-13T14:21:59Z,Olayele Gbenga Awujoola,I have been trying to make payment with my card since yesterday for the full course but it is not going through,positive
16,,rHux0gMZ3Eg,UgyZdkxeM48T2OxMxSN4AaABAg,2023-06-11T15:49:06Z,golowi,im a loser even w tutorial,neutral
17,,rHux0gMZ3Eg,UgyNEL_XW4cmPO5zegd4AaABAg,2023-06-09T11:36:28Z,SURPRISE MAWELA,Your tutoring skills are unmatched,neutral
18,,rHux0gMZ3Eg,Ugyn8ZZCjAs6TqaDTLd4AaABAg,2023-06-07T18:25:29Z,DON28ist,this guy is pretty good at marketing.,positive
19,,rHux0gMZ3Eg,UgxBLLX_EJi6PrUbDBl4AaABAg,2023-06-06T05:21:34Z,Ngolobane Ngozobolwane,My Favorite teacher,positive
20,,rHux0gMZ3Eg,UgxXfS_z8YNn3NNDKFN4AaABAg,2023-06-05T16:24:48Z,Daking Comzone,Mclaren not Ferrari 4:53,neutral
21,,rHux0gMZ3Eg,UgwZQYIcqthxma0SPsF4AaABAg,2023-06-03T08:49:29Z,chris padiga,"At 32:09 I'm getting ImportError: attempted relative import with no known parent package, any help?",neutral
22,,rHux0gMZ3Eg,Ugwz_01poxqQR6bB6sZ4AaABAg,2023-06-03T05:26:39Z,shamshad malik,"hello Sir, i enrolled for this course. but forgot password .i am not able to recover as not not getting any recovery mail.i dont know if its a glitch. please ,i need immediate help as i am not able to watch the videos right now",negative
23,,rHux0gMZ3Eg,UgztTGLrs4BKpdxp2nx4AaABAg,2023-06-01T07:12:42Z,Suganya Nagul,"Hi Mosh, I watched this tutorial in this while i'm installing django in virtual env I cannot able to find the bin file which you showed in 13.45.Can you please help",positive
24,,rHux0gMZ3Eg,UgzGyiMATTo8s5K9mxx4AaABAg,2023-05-29T22:45:32Z,Enochdgreat,Engineer Mosh. Please I love to purchase course but I neither have PayPal account nor Visa card. I'm from Nigeria. Please is there any other method of payment?,positive
25,,rHux0gMZ3Eg,UgzEyiEIjUm7yVZiCLZ4AaABAg,2023-05-29T19:28:33Z,ali zolfaghari,What is difference between django v3 and v4?,neutral
26,,rHux0gMZ3Eg,UgyfTg8--3sBgrOeSFx4AaABAg,2023-05-29T17:53:19Z,Mostafa Hasan,I just started. Good luck and have fun to mySelf😁😁,positive
27,,rHux0gMZ3Eg,UgzhBNj4IewHkxf6CQx4AaABAg,2023-05-29T12:00:10Z,ProgrammerOfHisLife,who knows what theme that is?,neutral
28,,rHux0gMZ3Eg,UgzC9JtPWjsyTloTOk54AaABAg,2023-05-28T15:10:07Z,g mh,Unable to pay for courses,negative
29,,rHux0gMZ3Eg,UgzR-xEMKBXTwi-pjzF4AaABAg,2023-05-26T07:36:39Z,Sachin Karki,while mapping url to views and starting the server it says module not found error: playground .plz some one help,neutral
30,,rHux0gMZ3Eg,Ugx1Yg5FlyiFCSP58L54AaABAg,2023-05-25T22:13:09Z,mat 86,I have a Asus intel core i3 labtop.,neutral
31,,rHux0gMZ3Eg,UgwT6Gxr6XVf-iefVqZ4AaABAg,2023-05-25T18:14:55Z,Oussama Tazi,"that is a mclaren my friend, not a ferrari",neutral
32,,rHux0gMZ3Eg,UgyB7ybvHLTQiXqIb594AaABAg,2023-05-25T14:09:09Z,Mohammad Ommshi,چه کردی پسر چه زبانی چه تدریسی آفرین بهت. کیف کردم,neutral
33,,rHux0gMZ3Eg,UgwnteRaaoFl9ViEdNF4AaABAg,2023-05-23T15:41:21Z,Nick Kingston,Where's the PC/Windows version for this? 14:00,neutral
34,,rHux0gMZ3Eg,UgwIiXgE_HEmHz9Hdk14AaABAg,2023-05-22T10:49:13Z,sanand n.r,"Why did sessions deleted, will it create trouble later? In app creation",negative
